"사망원인별(237항목)","성별","연령(5세)별",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대사 장애 (E70-E88)","계","계",0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.5,0.4,0.5,0.9,0.6,0.9,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.9,0.9,0.9,1.1,1.2,1.2,1.4,1.3,1.5,1.7,2.0,1.8,1.9,2.1,2.2,2.1,1.9
"나머지 내분비, 영양 및 대사질환 (Re. E00- E88)","계","계",0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.3
"치매 (F01,F03)","계","계",0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.4,0.8,2.2,2.7,4.6,7.4,8.6,9.8,10.2,9.8,9.1,9.8,8.6,6.7,7.1,6.6,6.3,6.2,8.8,8.0,8.0,8.4,9.3,8.5,8.3,8.7,8.5,8.3,7.0,7.0,6.1,4.6,4.9,6.1,5.4
"기타 기질성 정신장애 (F04-F09)","계","계",0.0,0.1,0.0,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.0,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"알코올 사용에 의한 정신 및 행동장애 (F10)","계","계",1.0,1.1,1.4,1.4,1.4,0.2,0.3,0.6,2.2,2.5,2.8,3.6,2.7,2.6,2.6,3.1,3.0,2.6,2.6,2.2,2.1,2.1,2.2,2.2,1.8,1.7,1.5,1.5,1.4,1.4,1.4,1.5,1.5,1.7,1.9,1.8,1.8,2.1,1.9,2.0,1.7,1.8
"알코올이외의 정신활성 물질의 사용에 의한 정신 및 행동장애 (F11-F19)","계","계",0.1,0.2,0.1,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-,-,-
"정신분열병 (F20)","계","계",0.4,0.5,0.5,0.5,0.3,0.1,0.2,0.3,0.6,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.2,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2
"기분[정동]장애 (F30-F39)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0
"나머지 정신 및 행동장애 (Re. F01- F99)","계","계",1.7,1.5,1.2,1.3,1.1,1.0,0.8,1.2,0.8,0.9,0.9,1.0,0.9,1.4,1.4,2.2,1.3,1.3,0.7,0.3,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1
"수막염, 뇌염, 척수염 및 뇌척수염 (G00, G03, G04)","계","계",3.0,2.2,1.8,1.5,1.4,1.1,1.0,1.0,0.8,0.7,0.7,0.8,0.6,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.4,0.4
"나머지 중추신경계통의 염증성 질환 (RE.G00- G09)","계","계",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"파킨슨병 (G20-G21)","계","계",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.9,0.5,0.4,0.5,0.6,0.7,0.8,1.2,1.5,2.0,1.9,2.3,2.5,2.6,2.7,3.2,3.2,3.9,4.4,5.1,6.3,6.6,6.8,7.1,7.3,7.8,6.9,7.1,7.7,9.4,9.2,10.0
"다발 경화증 (G35)","계","계",0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"간질 (G40-G41)","계","계",1.3,1.1,1.2,1.1,1.0,0.9,1.1,1.0,1.1,1.2,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.9,1.0,1.4,1.1,1.1,1.0,1.0,1.0,0.8,0.8,0.8,0.7,0.9,0.9,0.8,0.9,0.8,0.9,1.0,0.9,0.9,0.9,1.2,1.1,1.2
"유아성 뇌성마비 (G80)","계","계",0.8,0.9,0.9,1.0,0.9,0.7,0.7,0.8,0.6,0.7,0.9,0.9,0.8,0.7,0.7,0.6,0.5,0.4,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2
"기타 마비성 증후군 (G81-G83)","계","계",0.5,0.4,0.5,0.5,0.5,0.9,0.7,0.7,1.3,1.2,1.1,0.7,0.5,0.5,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2
"나머지 신경계통의 질환 (Re. G00- G98)","계","계",1.9,1.7,1.5,1.3,1.1,1.0,1.2,1.3,1.5,1.4,1.7,1.3,1.6,1.5,1.8,2.3,1.6,2.5,2.6,3.8,4.3,4.3,4.1,4.5,5.8,6.1,6.2,6.6,7.3,9.3,11.3,11.3,12.6,12.3,12.9,15.3,16.5,18.2,19.5,27.1,25.9,28.5
"눈 및 눈부속기의 질환 (H00-H57)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0,-,0.0,0.0,0.0,0.0,-,-,0.0
"급성류마티스열 및 만성 류마티스 심장질환 (I00-I09)","계","계",0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.4
"고혈압성 심장병 (I11)","계","계",1.4,1.4,1.5,1.4,1.3,1.0,0.8,1.5,0.7,2.2,3.2,2.6,1.5,1.6,1.6,2.1,2.3,3.4,5.6,6.7,6.5,5.8,4.5,4.5,5.2,4.0,3.5,3.6,3.9,4.2,3.7,4.3,4.4,4.7,4.8,4.8,4.9,5.1,4.8,6.0,6.4,6.5
"고혈압성 콩팥(신장)병 (I12)","계","계",0.3,0.3,0.5,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.4,0.6,0.6,0.9,1.1,1.1,1.1,1.2,1.0,1.1,1.0,1.1,1.1,0.9,0.9,0.9,1.0,0.9,1.0,1.0,1.2,1.1,1.1,1.3,1.4
"기타 고혈압성 질환 (I10, I13)","계","계",45.6,45.0,41.1,38.5,36.8,32.7,30.5,28.0,24.8,22.7,22.0,22.2,16.6,12.1,7.9,6.1,5.0,5.2,4.1,3.3,3.3,3.6,3.8,3.9,4.7,4.5,5.0,4.9,5.0,5.1,4.8,4.8,4.6,4.9,5.5,6.0,5.0,5.6,6.2,7.9,7.9,8.2
"급성 심근경색증 (I21)","계","계",1.6,2.4,2.9,3.1,4.5,4.8,6.6,7.3,8.2,9.6,9.6,9.9,10.7,10.5,11.6,14.0,15.7,17.3,17.0,18.5,17.8,19.3,21.0,21.8,21.8,19.3,19.0,18.9,18.6,19.6,18.9,20.1,20.5,19.9,18.7,19.1,18.8,19.3,18.9,19.9,18.8,18.3
"만성 허혈성 심장병 (I25)","계","계",0.1,0.2,0.2,0.3,0.4,0.6,0.6,0.9,1.1,1.0,1.6,1.2,1.2,1.5,1.4,1.4,1.8,2.2,2.4,3.4,4.0,4.3,4.3,4.8,5.1,4.4,4.9,5.6,6.2,6.7,5.6,5.6,6.2,6.6,6.9,7.0,5.3,5.8,6.3,6.1,6.0,6.7
"나머지 허혈성 심장질환 (Re. I20- I25)","계","계",0.6,0.3,0.4,0.4,0.3,0.3,0.4,0.5,0.6,0.8,1.5,1.0,1.1,1.1,0.8,1.0,1.1,2.1,2.7,3.4,2.9,2.8,2.3,2.7,2.8,2.0,2.1,2.2,2.4,2.7,2.4,2.2,2.2,2.2,2.2,2.1,2.5,2.2,2.3,2.8,2.7,2.9
"폐성 심장병 및 폐순환의 질환 (I26-I28)","계","계",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.3,0.4,0.4,0.5,0.5,0.7,0.8,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.2,1.4,1.5,1.4,1.4,1.3
"심내막염 및 심장 판막장애 (I33-I38)","계","계",1.9,2.1,2.2,1.5,1.4,1.1,1.2,1.5,1.5,1.5,1.7,1.7,1.6,1.6,1.5,1.4,1.5,1.6,1.4,1.3,1.0,0.9,0.9,1.0,1.1,1.2,1.2,1.3,1.4,1.4,1.4,1.5,1.7,1.6,1.8,1.8,1.8,1.9,2.0,2.1,2.2,2.2
"전도장애 및 심장성 부정맥 (I44-I49)","계","계",34.0,34.0,31.3,29.2,27.0,25.3,23.0,22.7,22.8,17.6,15.6,18.7,8.8,8.7,8.6,8.4,7.3,6.8,4.9,4.3,4.1,4.3,5.0,4.7,5.1,6.3,7.3,8.0,8.6,9.8,10.1,10.6,11.6,13.3,14.0,14.3,14.4,13.9,10.2,10.6,11.0,11.1
"심장기능상실(심부전) (I50)","계","계",0.8,1.3,1.4,1.3,1.9,2.0,1.6,1.7,2.7,2.8,2.9,2.2,6.6,6.4,6.3,6.9,6.2,4.6,3.1,3.6,3.4,2.9,3.5,3.8,5.3,6.9,6.9,7.2,8.7,8.4,8.1,8.1,9.0,10.0,11.5,13.2,13.2,14.1,15.9,17.8,17.8,18.6
"기타 형태의 심장병 (I30-I31, I40,I42, I51)","계","계",8.4,8.5,7.3,6.6,6.2,5.2,4.9,4.9,4.9,5.8,7.1,7.3,6.5,5.9,5.4,5.3,5.2,3.5,2.5,2.3,2.2,2.1,2.2,2.3,2.4,2.6,2.9,2.8,3.1,3.1,2.9,3.3,3.5,3.5,4.0,3.6,3.1,4.4,4.3,5.1,5.1,4.4
"지주막하 출혈 (I60)","계","계",0.3,0.2,0.2,0.2,0.3,0.2,0.4,1.6,1.6,1.6,1.4,1.1,2.7,3.2,3.2,3.4,3.6,3.7,3.5,4.2,4.4,4.8,4.7,4.3,3.9,4.0,3.9,4.3,3.9,4.1,3.9,3.9,3.9,3.8,3.9,3.6,3.7,3.9,3.9,3.9,3.7,3.9
"뇌내출혈 및 기타 비외상성 머리내 출혈 (I61,I62)","계","계",13.6,13.7,15.1,15.3,14.7,15.7,16.7,14.6,15.8,18.9,20.5,21.0,18.9,18.7,18.4,18.6,19.1,19.0,19.1,18.5,18.0,15.7,14.2,13.3,12.6,11.7,10.6,10.8,10.3,9.4,9.3,10.0,10.5,9.9,9.8,9.8,9.8,9.9,11.0,11.1,11.5,11.4
"뇌경색증 (I63)","계","계",1.8,1.9,2.6,2.8,2.8,2.9,3.6,3.9,4.4,5.7,6.3,7.0,8.3,8.9,9.6,9.6,10.5,15.6,16.8,21.0,23.9,24.5,22.0,21.0,21.9,19.4,17.1,16.4,15.7,14.9,14.9,15.3,15.6,14.6,14.0,14.3,13.8,14.4,17.6,17.3,18.1,19.0
"출혈 또는 경색증으로 명시되지 않은 뇌중풍 (I64)","계","계",25.7,24.1,24.8,24.1,23.0,23.0,22.6,22.9,20.2,20.9,21.1,23.2,22.7,21.2,25.2,37.0,34.4,28.2,23.6,19.1,15.0,12.0,8.8,8.3,6.0,5.2,4.3,3.8,3.3,3.1,2.7,2.6,2.3,1.9,1.6,1.6,1.4,1.6,1.7,2.1,2.1,1.9
"기타 뇌혈관 질환 (I67)","계","계",25.9,26.5,25.4,22.8,21.5,20.2,19.0,19.3,19.9,25.7,28.7,29.1,26.4,22.1,16.2,3.2,1.8,2.0,1.9,1.7,1.5,1.1,1.0,0.9,1.0,0.9,0.9,0.9,0.8,0.9,1.0,1.0,1.1,0.7,0.7,0.9,0.9,0.8,1.0,1.2,1.0,1.0
"뇌혈관 질환의 후유증 (I69)","계","계",0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.8,0.8,0.9,0.8,0.7,0.9,1.0,1.0,2.4,3.8,5.2,9.3,13.2,13.0,12.5,13.9,14.0,14.6,15.4,15.3,17.1,16.7,18.9,18.4,15.5,14.6,14.8,14.5,14.5,12.3,11.9,8.9,13.9,10.9,11.0
"죽상경화증 (I70)","계","계",1.3,1.3,1.2,1.2,1.7,1.6,1.6,1.9,2.2,2.4,2.2,1.9,1.6,1.0,0.7,0.5,0.5,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.3
"대동맥류 및 박리 (I71)","계","계",0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.5,0.4,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.2,1.4,1.5,1.4,1.5,1.3,1.4,1.5,1.5,1.7,1.8,1.8,2.0,2.0,2.2,2.2,2.2,2.2,2.5,2.5,2.7
"나머지 순환계통 질환 (Re. I00- I99)","계","계",1.9,2.2,2.1,2.1,1.4,1.5,1.8,1.9,1.7,1.7,1.2,1.5,1.3,1.0,0.9,1.2,0.9,0.9,0.9,0.7,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2
"인플루엔자 (J09-J11)","계","계",1.3,0.7,0.7,0.5,0.4,0.3,0.2,0.1,0.2,0.2,0.4,0.4,0.4,0.2,0.3,0.2,0.3,0.4,0.3,0.2,0.0,0.0,0.0,-,0.0,0.0,0.3,0.2,0.1,0.2,0.1,0.2,0.5,0.4,0.5,1.4,0.5,0.5,0.0,0.1,0.6,0.7
"폐렴 (J12-J18)","계","계",11.1,9.7,8.2,6.7,6.9,7.3,6.6,5.2,4.4,4.2,4.5,4.4,4.2,4.2,5.0,6.6,6.8,8.2,6.1,5.7,5.8,7.2,8.6,9.4,9.4,11.1,12.7,14.9,17.2,20.5,21.4,23.7,28.9,32.2,37.8,45.4,45.1,43.3,44.4,52.1,57.5,59.0
"만성 및 명시되지 않은 기관지염 (J40-J42)","계","계",2.8,2.3,2.2,2.1,1.6,1.4,1.5,1.5,1.4,1.6,2.0,1.9,1.5,1.6,1.5,1.6,1.3,1.6,1.1,1.1,0.6,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.8
"폐기종 (J43)","계","계",0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.3,0.5,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.5
"기타 만성 폐쇄성 폐질환 (J44)","계","계",0.4,0.5,0.7,0.9,0.9,1.0,1.5,1.7,2.1,2.4,2.7,2.9,3.6,3.6,3.9,3.5,4.4,6.7,8.4,11.5,10.6,10.7,9.7,9.2,10.2,9.8,9.4,9.6,9.6,10.7,9.7,9.9,10.2,9.5,9.2,9.1,8.6,7.8,7.3,8.2,8.4,8.6
"천식 (J45-J46)","계","계",7.1,6.9,7.5,6.4,5.8,5.1,6.0,5.3,6.0,7.3,9.5,9.9,9.3,8.4,7.7,7.1,7.4,7.9,9.0,9.5,7.3,5.7,4.9,4.3,4.1,3.8,3.3,3.4,3.0,3.4,3.0,2.8,2.9,2.6,2.4,2.2,2.0,1.8,1.6,1.9,2.0,2.0
"기관지 확장증 (J47)","계","계",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6
"진폐증 (J60-J65)","계","계",0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.6,0.7,0.6,0.7,0.7,0.9,0.8,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.6,0.7,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.8
"고체 및 액체에 의한 폐렴 (J69)","계","계",0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.5,0.7,0.9,0.9,1.0,1.0,1.0,0.8,1.0,1.3,1.3,1.3,1.7,2.3,2.6,2.8,3.0,3.0,3.3,3.4,3.9,4.5,5.2,5.1,6.6,6.8,6.8,6.4,5.9
"폐부종 (J81)","계","계",0.2,0.2,0.3,0.3,0.5,0.9,0.8,0.3,0.3,0.4,0.2,0.3,0.2,0.1,0.2,0.5,0.3,0.4,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.5,0.6,0.5,0.5
"농흉 (J86)","계","계",0.9,0.7,0.6,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
"나머지 호흡계통의 질환 (Re. J00- J98)","계","계",3.4,2.6,2.6,2.3,2.1,2.1,2.0,2.5,2.2,2.7,2.7,3.1,3.3,3.4,3.9,5.1,4.7,6.4,5.2,4.0,3.3,2.9,2.9,2.9,3.3,3.7,3.9,4.1,4.6,5.0,5.0,5.1,5.8,6.1,6.4,7.4,7.3,7.8,8.7,9.5,10.7,10.1
"위 및 십이지장 궤양 (K25-K27)","계","계",3.3,2.9,2.9,2.5,2.1,1.6,1.5,1.7,1.6,2.0,2.0,2.2,1.8,1.7,1.5,1.5,1.3,1.5,1.4,1.5,1.0,1.0,0.8,0.9,1.1,1.0,0.9,1.1,1.1,1.0,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,0.9,1.1,1.0,1.1
"위염 및 십이지장염 (K29)","계","계",1.6,1.4,1.2,1.4,1.1,1.1,1.0,0.8,0.8,1.1,1.5,1.3,0.9,0.9,0.6,0.5,0.8,0.7,0.5,0.6,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0
"나머지 식도, 위 및 십이지장의 질환 (Re. K20- K31)","계","계",8.3,6.8,6.0,5.0,4.4,3.5,3.2,2.8,2.5,2.6,2.2,1.8,1.4,1.5,1.3,1.3,1.1,0.9,0.7,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4
"비감염성 장염 및 대장염(큰창자염) (K50-K52)","계","계",0.7,0.5,0.5,0.6,0.7,0.7,0.8,0.3,0.3,0.5,0.7,0.6,0.5,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"헤르니아가 없는 마비성 장폐색증 및 창자폐쇄 (K56)","계","계",0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1.0,1.1,1.2,1.2,1.3,1.4,1.3,1.4,1.4,1.3,1.5,1.5,1.5,1.6,1.8
"복막염 (K65)","계","계",1.6,1.2,1.1,0.9,0.8,0.8,0.9,0.6,0.6,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8
"알코올성 간질환 (K70)","계","계",0.4,0.3,0.2,0.2,0.4,0.7,1.0,1.1,1.2,2.0,2.0,2.0,3.2,3.0,3.0,2.5,2.8,3.0,3.9,6.3,7.7,8.3,7.4,7.0,7.7,7.4,7.2,7.4,7.4,7.4,7.2,7.2,7.6,7.4,7.2,7.4,7.1,7.7,7.5,7.6,6.7,7.3
"달리 분류되지 않은 간기능상실 (K72)","계","계",1.1,1.0,1.0,0.8,0.6,0.5,0.4,0.3,0.4,0.5,0.5,0.3,0.5,0.7,0.6,1.3,0.8,1.0,0.7,0.5,0.4,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1.0,1.0
"달리 분류되지 않은 만성 간염 (K73)","계","계",0.4,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.4,0.5,0.4,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"간의 섬유증 및 경화 (K74)","계","계",22.3,22.9,24.8,24.3,24.1,23.4,24.1,23.3,23.0,23.4,24.4,23.3,23.0,21.4,20.3,18.7,17.8,16.8,15.9,13.8,11.4,9.6,8.8,7.6,6.2,5.9,5.4,5.2,4.9,4.8,4.6,4.6,4.6,4.7,4.6,4.5,4.2,4.3,4.7,5.1,5.3,5.6
"나머지 간 질환 (Re. K70- K76)","계","계",7.2,6.4,4.9,4.7,4.3,3.8,3.5,3.1,2.8,2.7,2.5,2.4,2.6,2.2,2.1,2.1,2.0,2.0,1.7,1.2,0.9,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.8,0.9,0.9,0.8,1.1,1.1,1.1,1.2,1.3
"담석증 (K80)","계","계",0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,0.8,0.8,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.6,0.7,0.6,0.8,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.5
"급성 췌장염 및 췌장의 기타 질환 (K85-K86)","계","계",0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.8
"나머지 소화계통의 질환 (Re. K00- K92)","계","계",2.2,1.6,1.6,1.6,1.7,1.8,2.0,1.6,1.7,1.8,1.8,2.6,2.5,2.1,2.4,3.1,2.3,2.6,2.4,2.2,2.0,2.0,2.1,2.5,2.7,3.1,3.4,3.9,4.1,4.1,4.3,4.4,4.7,5.1,5.5,5.8,5.8,6.2,6.6,7.2,7.4,7.0
"욕창궤양 및 압박부위 (L89)","계","계",-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.2,0.2,0.3,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.7,0.9,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.7,0.6,0.7,0.6,0.6
"나머지 피부 및 피하조직의 질환 (Re. L00- L98)","계","계",0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
"류마티스 관절염 (M05-M06)","계","계",0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.4
"기타 염증성 다발관절병증 (M08-M13)","계","계",0.5,0.5,0.5,0.5,0.4,0.3,0.5,0.5,0.5,0.9,1.3,1.5,1.1,1.1,1.0,1.0,1.0,0.8,0.8,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1
"전신 결합조직 장애 (M30-M35)","계","계",0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6
"척추병증 (M45-M48)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.3,0.3,0.3,0.4
